    ---------------------------------------------------------------------------,,,,,,
,,,,,,
    * Data units = mm                            ,,,,,,
    * TOP/BOTTOM,REFDES,PCB_x,PCB_y,ROTATION,VALUE,FOOTPRINT
   SMD_TOP,C1,28,17,90,10UF,TC3528
   SMD_TOP,C10,62.625,12.25,180,15pF,CC1608
   SMD_TOP,C11,35.5,10.5,0,100nF,CC1608
   SMD_TOP,C12,50.25,12.25,0,15pF,CC1608
   SMD_TOP,C13,20,5,0,100nF,CC1608
   SMD_TOP,C14,19.5,16,0,100nF,CC1608
   SMD_TOP,C15,23.5,11.5,180,100nF,CC1608
   SMD_TOP,C16,16.5,16,0,100nF,CC1608
   SMD_TOP,C17,14,16.5,270,100nF,CC1608
   SMD_TOP,C2,50.75,7,180,100nF,CC1608
   SMD_TOP,C3,35.5,9,0,100nF,CC1608
   SMD_TOP,C4,50.75,8.5,180,100nF,CC1608
   SMD_TOP,C5,25.25,16.5,90,1uF,CC2012
   SMD_TOP,C6,23.5,16.5,90,100nF,CC1608
   SMD_TOP,C7,22,16.5,90,1nF,CC1608
   SMD_TOP,C8,30.5,3,0,TCSCS1C685MAAR,CC3216
   SMD_TOP,C9,20,3,0,2.2uF,CC2012
   SMD_TOP,D1,25,3,180,MMSD4148T1G,SOD-123
   SMD_TOP,FB1,31.5,16.5,270,BLM41PG181SN1,BEAD4516
   SMD_TOP,FB2,34.5,16.5,270,BLM41PG181SN1,BEAD4516
   SMD_TOP,R1,37,3,180,10K,RC1608
   SMD_TOP,R10,79.5,8,90,330,RC1608
   SMD_TOP,R11,89.5,8,90,330,RC1608
   SMD_TOP,R12,13,3.75,270,0,RC1608
   SMD_TOP,R13,11.5,3.75,270,0,RC1608
   SMD_TOP,R14,99.5,8,90,330,RC1608
   SMD_TOP,R15,109.5,8,90,330,RC1608
   SMD_TOP,R16,119.5,8,90,330,RC1608
   SMD_TOP,R17,129.5,8,90,330,RC1608
   SMD_TOP,R18,139.5,8,90,330,RC1608
   SMD_TOP,R2,99.5,18,90,330,RC1608
   SMD_TOP,R3,26.5,8.5,270,360K,RC1608
   SMD_TOP,R4,109.5,18,90,330,RC1608
   SMD_TOP,R5,25,8.5,90,100K,RC1608
   SMD_TOP,R6,119.5,18,90,330,RC1608
   SMD_TOP,R7,139.5,18,90,330,RC1608
   SMD_TOP,R8,69.5,18,90,330,RC2012
   SMD_TOP,R9,69.5,8,90,330,RC1608
   SMD_TOP,TP1,15,3,0,TX,TP
   SMD_TOP,TP2,9.5,3,0,RX,TP
   SMD_TOP,TP3,10,16,0,RS232_RX,TP
   SMD_TOP,TP4,12,16,0,RS232_TX,TP
   SMD_TOP,U1,30.5,8.5,0,LP2951D,SOP8_3_9_6_1_27
   SMD_TOP,U2,42.25,8.5,180,ATMEGA48PA,QFP32_7_9_0_8
   SMD_TOP,U3,16,10,180,MAX3232CDR_SOIC,SOP16W6_00P1_270F0_80
  SMD_BOTTOM,D13,19.75,15.5,270,SMDJ15CA,DO-214AB
  SMD_BOTTOM,D14,12.75,15.5,270,SMDJ15CA,DO-214AB
  SMD_BOTTOM,Y1,56.5,10.75,0,SX-1(8MHz),SX-1
 DIP_TOP,D10,95,7.5,180,UH30240,LED_3MM
 DIP_TOP,D11,105,7.5,180,UH30240,LED_3MM
 DIP_TOP,D12,115,7.5,180,UH30240,LED_3MM
 DIP_TOP,D15,125,7.5,180,UH30240,LED_3MM
 DIP_TOP,D16,135,7.5,180,UH30240,LED_3MM
 DIP_TOP,D2,95,17.5,180,UH30240,LED_3MM
 DIP_TOP,D3,105,17.5,180,UH30240,LED_3MM
 DIP_TOP,D4,115,17.5,180,UH30240,LED_3MM
 DIP_TOP,D5,135,17.5,180,UH30240,LED_3MM
 DIP_TOP,D6,65,17.5,180,UH30240,LED_3MM
 DIP_TOP,D7,65,7.5,180,UH30240,LED_3MM
 DIP_TOP,D8,75,7.5,180,UH30240,LED_3MM
 DIP_TOP,D9,85,7.5,180,UH30240,LED_3MM
 DIP_TOP,H1,5,12.5,0,PCB_HOLE,HOLE3_2
 DIP_TOP,H2,145,12.5,0,PCB_HOLE,HOLE3_2
 DIP_TOP,TH1,23,9,0,1mm,1PIN-HDR
 DIP_TOP,TH2,37,23,0,1.3mm,TP_51
 DIP_TOP,TH3,19,23,0,1.3mm,TP_51
 DIP_TOP,TH4,23,6,0,1mm,1PIN-HDR
 DIP_TOP,TH5,32.5,23,0,1.3mm,TP_51
 DIP_TOP,TH6,23.5,23,0,1.3mm,TP_51
 DIP_TOP,TH7,28,23,0,1.3mm,TP_51
 DIP_TOP,TH8,14.5,23,0,1.3mm,TP_51
 DIP_TOP,TH9,10,23,0,1.3mm,TP_51
DIP_BOTTOM,J10,48.875,23,0,CON4,HEADER4
DIP_BOTTOM,J2,55.5,23,180,2.54mm_Header_2x3,HEADER2X3_2_54MM
